,Unnamed: 0,User_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Sum_purchase,GenderInt,AgeInt,Count_purchase
56,56,1000059,F,51-55,1,1,4,1,980068,1,5,127.0
57,57,1000060,M,51-55,1,2,1,1,279980,0,5,35.0
58,58,1000061,M,26-35,17,2,1,0,156299,0,2,19.0
59,59,1000062,F,36-45,3,0,1,0,2513136,1,3,281.0
60,60,1000063,M,18-25,4,2,2,0,553760,0,1,63.0
61,61,1000064,M,18-25,1,0,1,1,210948,0,1,15.0
62,62,1000065,M,36-45,12,2,2,1,892190,0,3,66.0
63,63,1000066,M,26-35,18,2,2,0,224910,0,2,20.0
64,64,1000067,F,51-55,5,2,4,1,352342,1,5,36.0
65,65,1000068,M,18-25,4,0,0,0,328177,0,1,42.0
66,66,1000069,F,26-35,1,0,1,0,315430,1,2,35.0
67,67,1000070,M,18-25,4,0,2,0,213755,0,1,25.0
68,68,1000071,M,26-35,14,0,0,1,157105,0,2,16.0
69,69,1000072,F,46-50,0,1,1,1,227919,1,4,26.0
70,70,1000073,M,18-25,4,0,4,0,1428265,0,1,133.0
71,71,1000074,M,36-45,14,0,2,1,326261,0,3,28.0
72,72,1000075,F,0-17,10,2,4,0,1035228,1,0,110.0
73,73,1000076,M,36-45,7,1,2,1,597730,0,3,51.0
74,74,1000077,M,18-25,4,2,2,0,147366,0,1,21.0
75,75,1000078,F,46-50,1,2,0,1,582306,1,4,85.0
76,76,1000079,F,46-50,0,0,1,0,124477,1,4,16.0
77,77,1000080,M,55+,1,2,3,1,339119,0,6,31.0
78,78,1000081,F,26-35,0,0,1,1,624777,1,2,51.0
79,79,1000082,M,26-35,17,2,2,1,645708,0,2,59.0
80,80,1000083,F,26-35,2,2,1,0,529819,1,2,52.0
81,81,1000084,M,18-25,4,2,1,0,277125,0,1,22.0
82,82,1000085,M,18-25,4,2,1,0,148849,0,1,19.0
83,83,1000086,F,0-17,10,2,3,0,294050,1,0,23.0
84,84,1000087,M,26-35,14,2,2,0,407327,0,2,37.0
85,85,1000088,F,46-50,1,2,1,1,329348,1,4,33.0
86,86,1000089,F,55+,9,2,1,1,112226,1,6,13.0
87,87,1000090,M,55+,13,2,1,0,1310621,0,6,137.0
88,88,1000091,M,36-45,7,2,3,1,210912,0,3,23.0
89,89,1000092,F,18-25,4,1,1,0,1573914,1,1,223.0
90,90,1000093,M,26-35,17,1,1,1,1275628,0,2,114.0
91,91,1000094,M,26-35,17,2,1,0,49288,0,2,7.0
92,92,1000095,M,46-50,0,2,4,1,580281,0,4,55.0
93,93,1000096,F,26-35,16,2,2,1,444238,1,2,43.0
94,94,1000097,F,36-45,3,2,3,0,866904,1,3,82.0
95,95,1000098,F,36-45,7,2,2,1,154510,1,3,13.0
96,96,1000099,F,0-17,10,2,1,0,506413,1,0,64.0
97,97,1000100,M,36-45,17,2,4,0,461932,0,3,41.0
98,98,1000101,F,18-25,3,0,1,0,1138239,1,1,65.0
99,99,1000102,M,36-45,19,2,3,0,640264,0,3,86.0
100,100,1000103,M,46-50,7,1,2,1,1016811,0,4,65.0
101,101,1000104,M,26-35,12,2,3,1,215030,0,2,28.0
102,102,1000105,M,46-50,12,2,1,1,636089,0,4,40.0
103,103,1000106,F,36-45,11,2,4,0,249376,1,3,30.0
104,104,1000107,M,46-50,18,2,4,0,578478,0,4,64.0
105,105,1000108,M,26-35,12,2,3,0,120872,0,2,14.0
106,106,1000109,M,46-50,15,2,1,1,468318,0,4,43.0
107,107,1000110,M,26-35,2,1,4,0,435574,0,2,40.0
108,108,1000111,M,36-45,15,2,3,0,520893,0,3,54.0
109,109,1000112,M,26-35,16,2,3,1,413216,0,2,29.0
110,110,1000113,M,18-25,12,2,2,0,360020,0,1,35.0
111,111,1000114,F,26-35,2,2,0,0,417983,1,2,51.0
112,112,1000116,M,26-35,17,2,2,1,590875,0,2,55.0
113,113,1000117,M,26-35,17,0,2,1,2742049,0,2,282.0
114,114,1000118,M,36-45,17,2,4,0,1301582,0,3,118.0
115,115,1000119,F,0-17,10,2,1,0,420788,1,0,56.0
116,116,1000120,M,26-35,11,2,0,0,343809,0,2,32.0
117,117,1000121,M,36-45,7,2,2,0,586434,0,3,41.0
118,118,1000122,F,18-25,4,2,1,0,271183,1,1,26.0
119,119,1000123,M,36-45,9,1,4,1,3237092,0,3,352.0
120,120,1000124,M,55+,7,2,1,1,135960,0,6,14.0
121,121,1000125,M,46-50,14,1,3,1,504628,0,4,36.0
122,122,1000126,M,18-25,9,1,1,0,333598,0,1,29.0
123,123,1000127,F,46-50,3,2,1,1,1171261,1,4,100.0
124,124,1000128,M,55+,6,0,1,1,139365,0,6,12.0
125,125,1000129,M,26-35,11,2,2,0,1253576,0,2,84.0
126,126,1000130,M,36-45,17,1,3,1,1274511,0,3,79.0
127,127,1000131,M,18-25,4,2,4,0,1271630,0,1,152.0
128,128,1000132,M,26-35,17,2,1,0,345438,0,2,45.0
129,129,1000133,F,26-35,0,2,1,1,801838,1,2,92.0
130,130,1000134,M,26-35,0,2,3,1,877030,0,2,101.0
131,131,1000135,M,18-25,4,2,1,1,360612,0,1,38.0
132,132,1000136,M,18-25,2,1,3,0,1562462,0,1,227.0
133,133,1000137,F,46-50,6,2,4,1,1273401,1,4,124.0
134,134,1000138,M,18-25,20,2,1,1,593019,0,1,36.0
135,135,1000139,F,26-35,20,2,2,0,1500089,1,2,136.0
136,136,1000140,F,36-45,1,1,3,0,328944,1,3,32.0
137,137,1000141,M,36-45,13,2,1,1,115058,0,3,13.0
138,138,1000142,M,26-35,7,0,2,0,301086,0,2,33.0
139,139,1000143,M,18-25,3,2,0,0,375606,0,1,36.0
140,140,1000144,M,26-35,17,2,1,1,234047,0,2,22.0
141,141,1000145,M,18-25,4,2,4,0,195522,0,1,29.0
142,142,1000146,F,36-45,20,1,3,1,2257255,1,3,238.0
143,143,1000147,M,18-25,4,1,4,0,1094887,0,1,95.0
144,144,1000148,M,51-55,17,1,3,1,3617268,0,5,338.0
145,145,1000149,M,26-35,1,1,2,1,3774602,0,2,333.0
146,146,1000150,M,36-45,7,1,0,1,1225932,0,3,134.0
147,147,1000151,F,26-35,20,0,1,1,2560797,1,2,283.0
148,148,1000152,M,18-25,4,0,3,0,128655,0,1,17.0
149,149,1000153,M,0-17,10,2,0,0,124933,0,0,14.0
150,150,1000154,M,51-55,20,0,4,1,281332,0,5,34.0
151,151,1000155,M,36-45,12,2,4,1,360224,0,3,53.0
152,152,1000156,F,46-50,7,2,4,1,689059,1,4,76.0
153,153,1000157,M,36-45,16,0,1,0,2228762,0,3,217.0
154,154,1000158,M,55+,7,2,2,1,184952,0,6,14.0
155,155,1000159,F,46-50,0,0,1,1,224103,1,4,23.0
156,156,1000160,M,36-45,7,2,3,0,84567,0,3,9.0
157,157,1000161,M,46-50,16,2,4,1,1884662,0,4,184.0
158,158,1000162,F,18-25,4,2,4,0,686358,1,1,55.0
159,159,1000163,M,18-25,4,0,1,0,1633731,0,1,271.0
160,160,1000164,F,55+,13,2,1,0,155793,1,6,18.0
161,161,1000165,M,18-25,16,0,1,0,602989,0,1,57.0
162,162,1000166,M,18-25,4,1,1,1,2073133,0,1,216.0
163,163,1000167,F,26-35,11,1,4,0,186597,1,2,28.0
164,164,1000168,F,51-55,0,2,0,1,134217,1,5,13.0
165,165,1000169,M,26-35,7,1,3,0,2850480,0,2,312.0
166,166,1000170,M,26-35,11,2,1,1,537275,0,2,42.0
167,167,1000171,F,51-55,17,1,1,1,208924,1,5,15.0
168,168,1000172,M,26-35,3,2,2,0,213016,0,2,15.0
169,169,1000173,M,26-35,0,1,1,1,3204589,0,2,314.0
170,170,1000174,M,26-35,16,2,2,0,762896,0,2,55.0
171,171,1000175,F,26-35,2,1,1,0,1458898,1,2,170.0
172,172,1000176,F,18-25,3,2,1,0,319661,1,1,39.0
173,173,1000177,M,51-55,1,1,3,1,389564,0,5,30.0
174,174,1000178,M,55+,17,0,2,1,540534,0,6,66.0
175,175,1000179,M,26-35,0,0,1,0,486738,0,2,66.0
176,176,1000180,M,46-50,12,2,4,0,258215,0,4,30.0
177,177,1000181,M,18-25,17,2,1,0,1788665,0,1,169.0
178,178,1000182,M,18-25,4,2,0,0,490892,0,1,54.0
179,179,1000183,F,46-50,1,1,1,1,660777,1,4,64.0
180,180,1000184,F,26-35,0,2,4,1,572923,1,2,52.0
181,181,1000185,M,46-50,0,2,0,0,435266,0,4,31.0
182,182,1000186,M,18-25,5,2,0,0,652330,0,1,58.0
183,183,1000187,F,46-50,1,1,1,0,2252669,1,4,243.0
184,184,1000188,M,55+,16,2,2,0,402149,0,6,41.0
185,185,1000189,M,18-25,0,1,2,0,209947,0,1,19.0
186,186,1000190,M,26-35,17,0,1,0,778557,0,2,80.0
187,187,1000191,M,18-25,4,2,1,1,117323,0,1,16.0
188,188,1000192,M,18-25,1,1,2,0,2405964,0,1,284.0
189,189,1000193,F,46-50,15,2,1,1,1192284,1,4,136.0
190,190,1000194,F,0-17,10,2,3,0,261915,1,0,35.0
191,191,1000195,M,26-35,12,1,4,1,4532014,0,2,466.0
192,192,1000196,F,36-45,9,2,4,0,227342,1,3,19.0
193,193,1000197,M,18-25,14,0,3,0,143289,0,1,16.0
194,194,1000198,M,26-35,12,0,0,1,2114695,0,2,207.0
195,195,1000199,M,18-25,4,1,1,0,1824863,0,1,206.0
196,196,1000200,F,18-25,4,2,0,0,129684,1,1,14.0
197,197,1000201,F,36-45,2,0,1,0,465389,1,3,51.0
198,198,1000202,M,18-25,4,0,3,0,3195955,0,1,379.0
199,199,1000203,F,18-25,4,1,1,1,389087,1,1,65.0
200,200,1000204,M,26-35,7,1,1,1,2424484,0,2,246.0
201,201,1000205,M,36-45,12,0,1,0,923914,0,3,84.0
202,202,1000206,M,26-35,17,2,1,0,152341,0,2,15.0
203,203,1000207,M,26-35,12,1,1,1,113722,0,2,13.0
204,204,1000208,M,36-45,17,2,1,1,1110185,0,3,108.0
205,205,1000209,M,36-45,1,1,4,0,86732,0,3,13.0
206,206,1000210,F,0-17,10,2,0,0,883170,1,0,57.0
207,207,1000211,M,46-50,17,2,1,1,224683,0,4,21.0
208,208,1000212,M,26-35,16,2,3,0,679266,0,2,67.0
209,209,1000213,F,18-25,4,2,1,0,98148,1,1,9.0
210,210,1000214,M,18-25,20,2,1,0,751383,0,1,93.0
211,211,1000215,M,36-45,14,2,1,1,237988,0,3,16.0
212,212,1000216,M,46-50,13,1,1,0,3140734,0,4,429.0
213,213,1000217,M,18-25,4,0,1,0,144311,0,1,13.0
214,214,1000218,M,36-45,14,2,3,1,381710,0,3,49.0
215,215,1000219,F,26-35,4,0,0,0,175433,1,2,21.0
216,216,1000220,M,26-35,12,0,3,0,620511,0,2,56.0
217,217,1000221,F,26-35,0,1,2,1,130596,1,2,18.0
218,218,1000222,M,26-35,1,0,1,0,428425,0,2,38.0
219,219,1000223,M,26-35,17,1,4,0,1125876,0,2,130.0
220,220,1000225,M,26-35,7,0,0,0,2483218,0,2,292.0
221,221,1000226,M,36-45,1,2,1,0,93001,0,3,10.0
222,222,1000227,M,36-45,20,1,0,0,165449,0,3,17.0
223,223,1000228,M,26-35,15,0,1,0,233015,0,2,21.0
224,224,1000229,M,18-25,10,2,1,0,909730,0,1,114.0
225,225,1000230,M,46-50,1,2,1,0,1071044,0,4,99.0
226,226,1000231,M,26-35,3,0,1,0,627470,0,2,54.0
227,227,1000232,M,26-35,20,0,1,1,413859,0,2,54.0
228,228,1000233,F,46-50,20,2,2,1,273514,1,4,28.0
229,229,1000234,M,36-45,7,2,2,0,197800,0,3,20.0
230,230,1000235,M,26-35,0,1,0,0,2682668,0,2,268.0
231,231,1000236,M,26-35,5,1,2,0,373171,0,2,32.0
232,232,1000237,M,26-35,6,2,1,1,659824,0,2,88.0
233,233,1000238,F,51-55,7,1,0,0,1188497,1,5,139.0
234,234,1000239,M,18-25,19,0,1,0,373260,0,1,38.0
235,235,1000240,M,51-55,17,0,1,1,854285,0,5,85.0
236,236,1000241,M,36-45,20,2,1,1,335285,0,3,27.0
237,237,1000242,F,18-25,4,0,3,0,1533937,1,1,165.0
238,238,1000243,M,26-35,16,2,1,0,107183,0,2,14.0
239,239,1000244,M,51-55,7,1,3,1,541740,0,5,50.0
240,240,1000245,M,36-45,16,1,0,0,2958852,0,3,435.0
241,241,1000246,F,18-25,4,2,1,0,135027,1,1,14.0
242,242,1000247,M,26-35,17,1,1,0,179944,0,2,21.0
243,243,1000248,M,18-25,17,1,1,1,235693,0,1,17.0
244,244,1000249,F,18-25,14,2,2,0,684768,1,1,62.0
245,245,1000250,M,36-45,16,2,1,0,112574,0,3,11.0
246,246,1000251,M,55+,17,0,0,1,413617,0,6,40.0
247,247,1000252,M,26-35,12,2,3,0,368735,0,2,28.0
248,248,1000253,F,26-35,11,2,1,0,258476,1,2,28.0
249,249,1000254,M,36-45,17,2,4,0,113747,0,3,12.0
250,250,1000255,M,36-45,0,2,1,1,1455520,0,3,130.0
251,251,1000256,M,46-50,16,2,3,0,860222,0,4,55.0
252,252,1000257,M,18-25,18,0,1,0,445108,0,1,34.0
253,253,1000258,M,26-35,7,2,0,1,783543,0,2,75.0
254,254,1000259,M,26-35,1,1,4,0,852767,0,2,80.0
255,255,1000260,M,18-25,19,2,1,0,1134282,0,1,89.0
256,256,1000261,M,26-35,20,0,4,0,2043390,0,2,217.0
257,257,1000262,F,26-35,1,2,1,0,639825,1,2,62.0
258,258,1000263,F,26-35,7,2,1,0,507046,1,2,48.0
259,259,1000264,M,36-45,0,1,1,1,2114902,0,3,274.0
260,260,1000265,F,36-45,7,0,4,1,414690,1,3,52.0
261,261,1000266,M,36-45,11,2,3,0,310200,0,3,31.0
262,262,1000267,M,46-50,12,2,1,1,590040,0,4,77.0
263,263,1000268,F,18-25,12,2,1,0,1248334,1,1,143.0
264,264,1000269,M,26-35,2,0,1,1,119678,0,2,16.0
265,265,1000270,M,51-55,14,1,2,1,922239,0,5,75.0
266,266,1000271,M,18-25,4,2,1,0,1975959,0,1,188.0
267,267,1000272,M,18-25,0,0,1,0,2852051,0,1,279.0
268,268,1000273,M,18-25,4,1,2,1,1240141,0,1,116.0
269,269,1000274,M,18-25,4,0,4,0,866140,0,1,78.0
270,270,1000275,M,26-35,0,2,3,1,544614,0,2,52.0
271,271,1000276,M,46-50,16,2,4,0,171897,0,4,18.0
272,272,1000277,F,36-45,1,2,2,0,175796,1,3,15.0
273,273,1000278,M,46-50,18,2,4,1,859923,0,4,113.0
274,274,1000279,M,26-35,14,2,3,0,233557,0,2,26.0
275,275,1000280,M,51-55,7,2,0,1,189891,0,5,26.0
276,276,1000281,F,36-45,0,0,2,0,596211,1,3,65.0
277,277,1000282,M,26-35,17,2,4,1,164620,0,2,14.0
278,278,1000283,M,26-35,0,1,1,0,244500,0,2,17.0
279,279,1000284,M,26-35,12,1,3,1,2253516,0,2,275.0
280,280,1000285,F,36-45,0,0,1,0,771916,1,3,69.0
281,281,1000286,M,26-35,1,2,3,0,246138,0,2,25.0
282,282,1000287,M,51-55,13,1,1,1,570606,0,5,64.0
283,283,1000289,F,26-35,0,2,1,0,457657,1,2,36.0
284,284,1000290,F,26-35,20,2,4,0,160545,1,2,17.0
285,285,1000291,M,36-45,12,1,2,0,468257,0,3,55.0
286,286,1000292,M,36-45,7,2,0,1,258337,0,3,23.0
287,287,1000293,M,55+,1,2,1,1,1246368,0,6,175.0
288,288,1000294,F,46-50,9,2,3,1,127429,1,4,18.0
289,289,1000295,M,18-25,0,2,4,0,1200295,0,1,104.0
290,290,1000296,M,51-55,5,2,4,1,502982,0,5,57.0
291,291,1000297,M,18-25,2,2,3,1,578240,0,1,47.0
292,292,1000298,F,18-25,4,2,2,0,137224,1,1,14.0
293,293,1000299,M,26-35,12,2,4,0,717925,0,2,64.0
294,294,1000300,M,26-35,7,1,4,1,1789852,0,2,154.0
295,295,1000301,M,18-25,4,1,4,0,1969538,0,1,203.0
296,296,1000302,M,18-25,4,1,4,0,3225955,0,1,454.0
297,297,1000303,M,26-35,7,2,1,1,1090728,0,2,124.0
298,298,1000304,M,26-35,0,1,1,0,182592,0,2,13.0
299,299,1000305,F,18-25,0,1,3,1,510332,1,1,93.0
300,300,1000306,M,18-25,0,2,3,0,1181748,0,1,112.0
301,301,1000307,M,51-55,16,1,0,1,1323727,0,5,113.0
302,302,1000308,M,26-35,2,0,3,1,2790537,0,2,322.0
303,303,1000309,M,26-35,4,1,1,0,734896,0,2,64.0
304,304,1000310,F,18-25,4,2,1,0,932112,1,1,121.0
305,305,1000311,M,18-25,4,2,3,1,165653,0,1,11.0
306,306,1000312,F,51-55,2,1,0,0,258012,1,5,30.0
307,307,1000313,F,18-25,4,0,4,0,128453,1,1,13.0
308,308,1000314,F,55+,9,2,1,0,1482903,1,6,173.0
309,309,1000315,F,55+,1,0,3,1,84882,1,6,12.0
310,310,1000316,M,55+,13,2,1,0,555750,0,6,39.0
311,311,1000317,M,36-45,7,2,3,0,120376,0,3,13.0
312,312,1000318,F,55+,13,0,1,1,121960,1,6,13.0
313,313,1000319,F,51-55,6,1,3,1,3292557,1,5,420.0
314,314,1000320,M,36-45,6,2,4,0,91410,0,3,8.0
315,315,1000321,M,18-25,4,1,3,0,1363801,0,1,135.0
316,316,1000322,M,55+,17,0,3,1,180227,0,6,17.0
317,317,1000323,M,46-50,12,2,1,0,556213,0,4,59.0
318,318,1000324,M,36-45,17,1,0,1,432511,0,3,47.0
319,319,1000325,F,51-55,3,0,1,0,195099,1,5,25.0
320,320,1000326,M,51-55,11,1,1,1,1774938,0,5,218.0
321,321,1000327,M,36-45,18,2,4,0,1257891,0,3,131.0
322,322,1000328,M,36-45,12,2,2,0,360181,0,3,32.0
323,323,1000329,M,36-45,7,0,1,0,3007048,0,3,446.0
324,324,1000330,M,55+,7,2,2,0,461751,0,6,41.0
325,325,1000331,M,26-35,7,1,1,0,3269790,0,2,339.0
326,326,1000332,M,51-55,1,2,3,1,410935,0,5,41.0
327,327,1000333,M,36-45,2,0,0,1,866550,0,3,136.0
328,328,1000334,F,55+,2,0,3,1,328893,1,6,39.0
329,329,1000335,M,36-45,18,2,0,1,775552,0,3,95.0
330,330,1000336,M,18-25,0,2,4,0,745235,0,1,57.0
331,331,1000337,M,18-25,19,2,0,0,1098108,0,1,99.0
332,332,1000338,M,36-45,7,0,1,0,2027122,0,3,202.0
333,333,1000339,M,51-55,7,2,1,1,625742,0,5,70.0
334,334,1000340,F,26-35,3,2,1,1,471388,1,2,62.0
335,335,1000341,F,55+,13,2,2,1,137534,1,6,10.0
336,336,1000342,M,18-25,12,2,4,0,758556,0,1,71.0
337,337,1000343,F,36-45,3,1,2,0,1664013,1,3,156.0
338,338,1000344,M,36-45,14,2,1,1,531714,0,3,53.0
339,339,1000345,M,26-35,12,0,2,1,154655,0,2,14.0
340,340,1000346,F,26-35,0,1,2,0,1537119,1,2,173.0
341,341,1000347,F,55+,1,0,1,0,510992,1,6,59.0
342,342,1000348,M,51-55,7,1,2,1,458023,0,5,55.0
343,343,1000349,M,0-17,10,2,0,0,1445812,0,0,154.0
344,344,1000350,M,46-50,20,2,3,0,364359,0,4,33.0
345,345,1000351,M,18-25,4,0,4,0,735002,0,1,63.0
346,346,1000352,M,18-25,4,0,0,0,4355777,0,1,486.0
347,347,1000353,F,36-45,7,2,1,1,170793,1,3,13.0
348,348,1000354,M,36-45,1,0,1,0,280864,0,3,29.0
349,349,1000355,M,18-25,3,1,2,0,2378897,0,1,250.0
350,350,1000356,M,55+,20,2,0,1,142643,0,6,12.0
351,351,1000357,M,18-25,0,0,4,0,331204,0,1,37.0
352,352,1000359,M,26-35,17,1,1,0,207005,0,2,20.0
353,353,1000360,M,36-45,17,2,1,0,421341,0,3,35.0
354,354,1000361,F,26-35,14,1,3,0,77648,1,2,10.0
355,355,1000362,M,36-45,20,1,1,0,248250,0,3,25.0
356,356,1000363,M,18-25,10,1,1,1,308134,0,1,27.0
357,357,1000364,F,36-45,1,2,3,0,94601,1,3,14.0
358,358,1000365,F,18-25,4,0,1,0,183492,1,1,26.0
359,359,1000366,M,51-55,15,1,1,1,1410122,0,5,134.0
360,360,1000368,M,26-35,0,2,1,0,2039973,0,2,193.0
361,361,1000369,M,36-45,1,1,2,0,323035,0,3,49.0
362,362,1000370,M,18-25,17,2,3,0,383334,0,1,35.0
363,363,1000371,M,18-25,4,1,4,0,436717,0,1,49.0
364,364,1000372,F,18-25,4,2,2,0,1059484,1,1,79.0
365,365,1000373,F,26-35,2,2,1,1,209499,1,2,18.0
366,366,1000374,F,36-45,14,2,0,0,403245,1,3,27.0
367,367,1000375,M,26-35,2,1,1,0,298961,0,2,30.0
368,368,1000376,M,36-45,1,2,4,1,534856,0,3,55.0
369,369,1000377,M,26-35,17,1,2,0,920696,0,2,77.0
370,370,1000378,F,18-25,0,0,1,1,182644,1,1,22.0
371,371,1000379,F,36-45,1,2,4,0,382811,1,3,41.0
372,372,1000380,M,26-35,2,2,1,0,729368,0,2,85.0
373,373,1000381,M,36-45,17,2,2,0,259191,0,3,18.0
374,374,1000382,F,36-45,20,1,0,1,296701,1,3,34.0
375,375,1000383,F,26-35,7,0,4,1,117333,1,2,13.0
376,376,1000384,M,26-35,11,1,3,1,169138,0,2,17.0
377,377,1000385,M,26-35,6,2,1,0,840684,0,2,72.0
378,378,1000386,M,26-35,0,0,1,1,1161241,0,2,149.0
379,379,1000387,F,36-45,7,2,0,0,365489,1,3,45.0
380,380,1000388,F,26-35,0,1,3,1,283367,1,2,35.0
381,381,1000389,M,26-35,6,2,0,0,400832,0,2,44.0
382,382,1000390,M,26-35,4,0,0,0,946860,0,2,123.0
383,383,1000391,M,46-50,11,2,2,1,431469,0,4,37.0
384,384,1000392,M,18-25,7,0,0,0,2219577,0,1,268.0
385,385,1000393,M,36-45,17,2,4,0,335223,0,3,40.0
386,386,1000394,M,18-25,0,2,1,0,231657,0,1,19.0
387,387,1000395,M,18-25,5,0,0,0,65645,0,1,10.0
388,388,1000396,M,26-35,1,2,1,0,689039,0,2,95.0
389,389,1000397,M,36-45,17,1,2,0,234627,0,3,20.0
390,390,1000398,M,26-35,17,1,3,1,1257749,0,2,124.0
391,391,1000399,F,36-45,6,1,1,1,125042,1,3,12.0
392,392,1000400,F,18-25,3,2,2,1,223380,1,1,22.0
393,393,1000401,M,18-25,0,1,3,0,415330,0,1,41.0
394,394,1000402,M,26-35,11,1,1,1,1369148,0,2,159.0
395,395,1000403,M,18-25,4,0,2,0,1694402,0,1,166.0
396,396,1000404,M,18-25,4,1,1,0,291285,0,1,30.0
397,397,1000405,M,55+,1,2,2,0,201691,0,6,28.0
398,398,1000406,M,26-35,20,0,3,0,721522,0,2,78.0
399,399,1000407,M,18-25,17,2,1,0,162159,0,1,17.0
400,400,1000408,M,26-35,11,0,0,0,1010262,0,2,89.0
401,401,1000409,M,18-25,12,1,4,0,1595969,0,1,162.0
402,402,1000410,F,26-35,1,1,4,0,458378,1,2,59.0
403,403,1000411,F,46-50,1,1,0,1,2617637,1,4,358.0
404,404,1000412,M,36-45,15,0,1,1,2709697,0,3,254.0
405,405,1000413,M,26-35,11,2,0,0,508416,0,2,54.0
406,406,1000414,M,26-35,0,2,4,0,283657,0,2,36.0
407,407,1000415,F,36-45,0,0,2,1,1397756,1,3,155.0
408,408,1000416,M,46-50,14,2,3,1,352175,0,4,35.0
409,409,1000417,F,26-35,0,2,0,1,171561,1,2,15.0
410,410,1000418,F,26-35,3,1,0,1,392719,1,2,34.0
411,411,1000419,M,18-25,3,2,1,0,642655,0,1,63.0
412,412,1000420,M,36-45,1,0,1,0,417100,0,3,40.0
413,413,1000421,F,46-50,3,0,1,1,132729,1,4,10.0
414,414,1000422,M,55+,17,0,4,0,311925,0,6,27.0
415,415,1000423,M,18-25,4,0,1,0,243029,0,1,37.0
